"","Wing_mm","Head_mm","SternL_mm","BodySize","GizzardEmptyFFDM","TotalFat","LDBM","Oxalat","OxalatIntens","Notes","BirdID","Phase","CollYear","CollMonth","CollDay","Sex","Age","WeightNE","DigestivTrLength..SI.LI.2xceca.","Gut...rectum..SI.","Caecum","ceca.weight","ceca.Gut.length","SI.weight","SeqRun"
"4",186,52.09,85.04,-1.326558581,3.55,7.73411702,107.155762,0,NA,NA,"LM-09-134","early",2009,10,5,"F","J",445.63,191,NA,44,9.87,23.04,NA,1
"7",195,51.7,84.26,-0.820587804,3.68,8.34211751,126.975218,0,NA,NA,"LM-09-109","early",2009,10,4,"F","A",510.35,188,NA,41,8.03,21.81,NA,1
"8",202,54.6,87.21,1.471185214,3.87,6.8330611,126.863142,0,NA,NA,"LM-09-108","early",2009,10,4,"M","A",516.77,173,NA,37,7.16,21.39,NA,1
"10",199,53.3,85.17,0.305866937,3.74,11.6979031,122.0252488,0,NA,NA,"LM-08-055","early",2008,10,4,"M","A",522.8,170,NA,36,6.89,21.18,NA,1
"11",201,53.01,88.61,1.102360617,3.02,8.5375621,121.7560104,0,NA,NA,"LM-08-071","early",2008,10,3,"M","A",513,180,NA,38,7.41,21.11,NA,1
"12",198,53.95,83.9,0.183674835,3.99,16.5105932,129.1600664,0,NA,NA,"LM-08-008","early",2008,10,3,"M","J",541.07,171,NA,40,7.39,23.39,NA,1
"13",195,54.21,87.08,0.673740576,4.62,10.7015326,130.5062584,0,NA,NA,"LM-08-059","early",2008,10,5,"M","J",535,196,NA,46,8.6,23.47,NA,1
"15",188,51.47,82.99,-1.799354796,3.77,10.3528723,104.8613008,0,NA,NA,"LM-08-084","early",2008,10,3,"F","J",454.07,191,NA,44,9.69,23.04,NA,1
"18",188,51.72,82.26,-1.862363663,4.24,10.3756104,108.4287096,0,NA,NA,"LM-08-054","early",2008,10,4,"F","J",476.38,184,NA,42,8.82,22.83,NA,1
"19",203,54.35,89.28,1.904990987,3.84,11.1821475,138.1122432,0,NA,NA,"LM-08-019","early",2008,10,3,"M","A",550.44,180,NA,40,7.27,22.22,NA,1
"20",186,49.56,83.83,-2.490682093,4.04,10.2023138,119.4001744,1,3,NA,"LM-08-087","early",2008,10,4,"F","J",460.65,196,NA,45,9.77,22.96,NA,1
"22",198,52.7,88.64,0.727147204,3.91,8.8614172,126.4676824,0,NA,NA,"LM-08-053","early",2008,10,4,"M","J",516,182,NA,42,8.14,23.08,NA,1
"23",197,53.83,83.6,-0.012360409,3.56,16.5209287,119.9386512,0,NA,NA,"LM-08-073","early",2008,10,3,"F","J",482.95,186,NA,42,8.7,22.58,NA,1
"24",199,52.47,87.42,0.478675546,4.26,10.2043809,122.496416,0,NA,NA,"LM-08-007","early",2008,10,3,"M","J",530,190,NA,44,8.3,23.16,NA,1
"25",200,54.14,86.62,1.002032358,3.39,16.0299783,133.4678808,0,NA,NA,"LM-08-074","early",2008,10,3,"M","A",542.36,NA,NA,NA,NA,NA,NA,7
"26",191,52.47,84.15,-0.926425532,3.84,16.89026,121.150224,0,NA,NA,"LM-08-117","early",2008,10,4,"F","J",506.5,NA,NA,NA,NA,NA,NA,7
"28",207,54.16,84.84,1.266040959,3.25,8.3477287,136.294884,0,NA,NA,"LM-08-113","early",2008,10,4,"M","A",549.66,NA,NA,NA,NA,NA,NA,7
"29",205,54.72,87.95,1.939384185,3.85,10.3487381,121.150224,0,NA,NA,"LM-08-023","early",2008,10,4,"M","A",551.1,NA,NA,NA,NA,NA,NA,7
"30",198,56.16,88.25,1.890670676,3.46,12.3766198,135.8237168,0,NA,NA,"LM-08-058","early",2008,10,4,"M","A",559.74,NA,NA,NA,NA,NA,NA,7
"31",192,50.07,84.53,-1.620573366,4.72,14.3817634,120.8809856,0,NA,NA,"LM-08-022","early",2008,10,5,"F","J",536.65,NA,NA,NA,NA,NA,NA,7
"32",199,56.47,86.44,1.71290058,4.74,13.8887459,137.4391472,0,NA,NA,"LM-08-118","early",2008,10,4,"M","J",564.05,195,NA,42,7.45,21.54,NA,7
"33",189,52.14,82.94,-1.478722907,4.42,9.8763916,112.9384528,1,3,NA,"LM-08-124","early",2008,10,5,"F","J",494.19,NA,NA,NA,NA,NA,NA,7
"34",201,55.46,88.03,1.862567182,3.73,12.0362279,134.0063576,0,NA,NA,"LM-08-009","early",2008,10,3,"M","A",585.46,NA,NA,NA,NA,NA,NA,7
"35",194,53.34,85.89,0.02126557,3.71,15.0563459,127.6792552,0,NA,NA,"LM-08-063","early",2008,10,3,"F","J",521.97,197,NA,45,8.62,22.84,NA,7
"36",190,51.21,81.51,-2.023133757,4,15.0108697,119.3328648,1,2,NA,"LM-08-083","early",2008,10,3,"F","J",474.03,184,NA,43,9.07,23.37,NA,7
"37",188,54.62,87.46,0.271095248,3.41,5.6907407,123.9772272,0,NA,NA,"LM-08-079","early",2008,10,3,"M","J",483.72,184,NA,41,8.48,22.28,NA,7
"38",193,52.57,80.95,-1.381095673,3.6,8.3621984,108.4287096,0,NA,NA,"LM-08-137","early",2008,10,4,"F","J",457.69,186,NA,43,9.4,23.12,NA,7
"39",192,53.25,83.98,-0.591352664,3.62,12.0279595,122.496416,0,NA,NA,"LM-08-004","early",2008,10,2,"F","J",479.36,192,NA,46,9.6,23.96,NA,7
"41",196,52.85,82.14,-0.761007524,3.5,10.5468399,115.428908,0,NA,NA,"LM-08-044","early",2008,10,2,"F","J",518.31,181,NA,39,7.52,21.55,NA,7
"42",195,54.79,87.43,0.955831128,3.62,9.8495193,129.4966144,0,NA,NA,"LM-08-082","early",2008,10,3,"M","J",531,181,NA,41,7.72,22.65,NA,7
"43",195,53.49,85.46,0.075113909,4.22,13.849471,118.8616976,0,NA,"Dry sandy cecum contents","LM-08-125","early",2008,10,5,"M","J",521.44,185,NA,42,8.05,22.7,NA,7
"45",195,54.62,87.32,0.871595728,4.21,7.3699621,110.4479976,0,NA,NA,"LM-08-120","early",2008,10,5,"M","J",502.28,NA,NA,NA,NA,NA,NA,7
"46",186,52.58,83.88,-1.393305217,3.68,5.3668856,94.89948,0,NA,NA,"LM-08-002","early",2008,10,2,"F","J",464.42,191,NA,46,9.9,24.08,NA,7
"47",199,53.3,85.77,0.431607138,3.91,6.0435352,117.9866728,NA,NA,NA,"LM-08-075","early",2008,10,3,"M","J",473.77,188,NA,43,9.08,22.87,NA,7
"48",194,53.92,87.17,0.498253433,3.97,13.2286331,133.939048,0,NA,NA,"LM-08-123","early",2008,10,5,"M","J",568.97,194,NA,46,8.08,23.71,NA,7
"49",207,53.65,91.97,2.57670459,4.15,9.1956078,121.6213912,0,NA,NA,"LM-08-033","early",2008,10,3,"M","J",559.57,182,NA,42,7.51,23.08,NA,7
"50",189,51.46,85.17,-1.256120612,3.67,13.870142,113.6788584,0,NA,NA,"LM-08-140","early",2008,10,5,"F","J",499.05,195,NA,44,8.82,22.56,NA,7
"51",189,52.98,85.09,-0.725837707,3.03,8.1702979,100.5534864,0,NA,NA,"LM-08-043","early",2008,10,2,"M","J",449.63,186,NA,43,9.56,23.12,NA,7
"52",189,50.75,81.11,-2.362491761,3.92,4.7047057,103.3804896,0,NA,NA,"LM-08-066","early",2008,10,4,"F","J",425.77,188,NA,44,10.33,23.4,NA,7
"53",195,51.97,83.21,-0.943460109,3.36,6.0352668,108.5633288,0,NA,NA,"LM-08-005","early",2008,10,2,"M","J",452.43,NA,NA,NA,NA,NA,NA,7
"55",193,53.23,84.39,-0.422651074,4.14,13.5442198,118.5924592,0,NA,NA,"LM-08-065","early",2008,10,4,"F","A",511.75,179,NA,42,8.21,23.46,NA,7
"56",208,55.76,88.69,2.738691315,3.92,10.6994655,133.0640232,0,NA,NA,"LM-08-077","early",2008,10,3,"M","J",548,193,NA,47,8.58,24.35,NA,7
"57",189,51.27,82.28,-1.930150279,3.5,16.3517663,114.6885024,1,1,NA,"LM-08-086","early",2008,10,4,"F","A",521.01,170,NA,34,6.53,20,NA,3
"58",189,53.69,83.49,-0.805615786,4.27,14.3652266,119.6694128,0,NA,NA,"LM-08-111","early",2008,10,4,"F","A",492,174,NA,39,7.93,22.41,NA,3
"59",207,53.46,88.2,1.718255962,3.34,5.7093446,107.0825176,1,1,NA,"LM-08-024","early",2008,10,5,"M","J",474.56,173,NA,37,7.8,21.39,NA,3
"60",193,52.5,86.61,-0.220139457,3.66,8.8552159,116.7077904,0,NA,NA,"LM-08-045","early",2008,10,2,"M","J",509,203,NA,48,9.43,23.65,NA,3
"61",188,52.41,83.59,-1.335308432,4.1,8.5272266,109.7749016,0,NA,NA,"LM-08-057","early",2008,10,4,"F","J",486.83,191,NA,43,8.83,22.51,NA,7
"62",181,52.86,82.65,-2.000186195,4.35,16.3889741,130.23702,0,NA,NA,"LM-08-081","early",2008,10,3,"F","J",517.5,190,NA,44,8.5,23.16,NA,7
"63",197,54.97,86.44,0.993096073,3.75,12.1619812,117.784744,0,NA,NA,"LM-08-015","early",2008,10,3,"M","J",501,172,NA,40,7.98,23.26,NA,7
"64",191,52.77,84.95,-0.650801878,3.51,9.0285125,119.130936,0,NA,NA,"LM-08-133","early",2008,10,4,"M","J",487.36,195,NA,46,9.44,23.59,NA,3
"65",196,53.97,84.79,0.197433224,4.27,6.3632561,124.1118464,0,NA,"Dry cecum","LM-08-052","early",2008,10,4,"M","J",525,189,NA,40,7.62,21.16,NA,3
"66",188,51.29,83.32,-1.794979717,3.81,14.6828804,115.5635272,0,NA,NA,"LM-08-136","early",2008,10,4,"F","J",471.32,191,NA,45,9.55,23.56,NA,7
"67",191,50.03,83.49,-1.942896177,3.7,10.7015326,118.5924592,0,NA,NA,"LM-08-035","early",2008,10,5,"F","A",486.99,178,NA,39,8.01,21.91,NA,7
"68",204,55.82,90.01,2.677005276,3.94,8.1909689,139.0545776,0,NA,NA,"LM-08-018","early",2008,10,3,"M","J",550.78,186,NA,41,7.44,22.04,NA,7
"69",190,52.52,84.58,-0.908293835,4,5.7010762,112.1307376,1,1,NA,"LM-08-096","early",2008,10,4,"F","A",500.48,172,NA,38,7.59,22.09,NA,3
"70",200,55.93,86.34,1.587574909,3.78,12.038295,126.3330632,0,NA,NA,"LM-08-138","early",2008,10,4,"M","A",510.05,179,NA,38,7.45,21.23,NA,1
"71",191,52.73,83.1,-1.052896838,3.44,14.1981313,115.765456,1,2,NA,"LM-08-078","early",2008,10,3,"F","A",476.75,176,NA,40,8.39,22.73,NA,1
"72",196,53.33,83.47,-0.309531329,3.55,11.5597472,118.3232208,1,1,NA,"LM-08-031","early",2008,10,3,"M","J",486,183,NA,43,8.85,23.5,NA,1
"73",194,52.65,85.03,-0.407293171,4.08,15.8773527,120.2078896,0,NA,NA,"LM-08-116","early",2008,10,4,"F","A",509,177,NA,36,7.07,20.34,NA,1
"75",199,52.73,85.68,0.207603008,4.07,4.2178895,115.0250504,0,NA,NA,"LM-08-051","early",2008,10,4,"M","J",512.35,200,NA,48,9.37,24,NA,3
"76",184,52.28,85.41,-1.360592003,3.44,12.1805851,119.4001744,0,NA,NA,"LM-08-100","early",2008,10,3,"F","A",468.56,NA,NA,NA,NA,NA,NA,3
"81",190,53.13,86.24,-0.340873507,4.47,13.24351469,130.4901972,0,NA,NA,"LM-09-165","early",2009,10,6,"F","A",551.18,178,NA,40,7.26,22.47,NA,1
"82",185,54.1,82.48,-1.229627878,3.48,12.3766198,106.005564,0,NA,NA,"LM-08-006","early",2008,10,3,"F","J",438.44,184,NA,43,9.81,23.37,NA,1
"83",189,54.18,86.68,0.039254033,4.22,13.3585206,109.6402824,0,NA,NA,"LM-08-095","early",2008,10,3,"M","J",497.39,196,NA,45,9.05,22.96,NA,NA
"84",182,50.88,82.65,-2.622811416,3.79,13.0077932,109.1691152,0,NA,NA,"LM-08-062","early",2008,10,3,"F","A",458.5,178,NA,38,8.29,21.35,NA,1
"90",195,56.13,83.16,0.543246265,4.06,7.5184535,124.0445368,0,NA,NA,"LM-08-020","early",2008,10,4,"M","A",476.34,174,NA,38,7.98,21.84,NA,1
"92",188,52.35,81.92,-1.706879334,4.27,12.5519835,107.0825176,0,NA,NA,"LM-08-115","early",2008,10,4,"F","A",497.06,191,NA,44,8.85,23.04,NA,1
"93",200,53.3,84.91,0.341356639,3.32,12.1826522,124.6503232,0,NA,"Previously 22_LM_C_0040","LM-08-041","early",2008,10,2,"M","A",522.69,178,NA,39,7.46,21.91,NA,1
"94",192,52.68,84.69,-0.647703192,3.76,11.3864506,121.9579392,0,NA,NA,"LM-08-072","early",2008,10,3,"F","A",514.52,187,NA,43,8.36,22.99,NA,1
"95",191,55.64,85.12,0.417738011,3.49,7.3554924,124.7849424,0,NA,NA,"LM-08-085","early",2008,10,4,"M","A",522.96,171,NA,37,7.08,21.64,NA,1
"97",198,53.16,85.38,0.20951286,3.78,4.94048298,123.2325372,0,NA,NA,"LM-09-022","early",2009,10,4,"M","A",514.2,181,NA,42,8.17,23.2,NA,1
"99",210,54.24,90.08,2.662895428,4.53,6.71236548,136.00977,0,NA,NA,"LM-09-127","early",2009,10,6,"M","A",573.72,176,NA,36,6.27,20.45,NA,1
"100",202,55.16,89.09,2.066715274,4.36,8.71148642,124.0261404,1,1,NA,"LM-09-099","early",2009,10,4,"M","J",543.8,198,NA,45,8.28,22.73,NA,1
"103",197,54.72,81.81,-0.067174187,3.75,11.34048356,122.213796,1,3,NA,"LM-09-055","early",2009,10,4,"F","J",561.39,201,NA,47,8.37,23.38,NA,1
"104",196,53.77,86.08,0.395794621,4.1,8.57305574,130.3612824,1,3,NA,"LM-09-046","early",2009,10,2,"M","J",539.5,193,NA,44,8.16,22.8,NA,1
"105",194,52.75,84.82,-0.415312224,4.09,4.64645887,110.092772,0,NA,NA,"LM-09-090","early",2009,10,3,"M","J",491.26,190,NA,40,8.14,21.05,NA,1
"106",199,53.14,86.21,0.46623259,3.57,7.27809814,122.479908,1,1,NA,"LM-09-002","early",2009,10,1,"M","J",519.98,200,NA,47,9.04,23.5,NA,1
"107",195,53.4,83.84,-0.296775649,3.99,4.44630736,110.9938772,0,NA,NA,"LM-09-140","early",2009,10,5,"F","J",490.28,187,NA,42,8.57,22.46,NA,1
"108",192,52.8,82.07,-1.153580714,3.99,4.86663569,108.2521128,0,NA,NA,"LM-09-043","early",2009,10,2,"F","J",488.97,192,NA,43,8.79,22.4,NA,1
